date,origin,destiny,altitude_destiny_mbsl,distance_km,unit_type,charge_tons,weather,driver_experience_years,theorical_time_arrival_hs,real_time_hs,liters_consumed_100km,critical_delay,delay_hs,cost_delay_usd,predicted_time_hs,error_abs_hs
2023-03-13 00:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,25.68,clear,4,1.32,2.89,53.52,1,1.57,785.0,2.497395289015698,0.39260471098430205
2023-01-26 16:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,39.08,rain,13,5.04,9.35,75.13,1,4.31,2155.0,10.442199967039102,1.092199967039102
2023-03-16 21:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,44.54,clear,18,3.29,3.71,78.17,0,0.41999999999999993,209.99999999999997,4.240334937995838,0.5303349379958382
2023-08-23 19:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,34.71,clear,11,4.94,5.45,72.12,0,0.5099999999999998,254.9999999999999,5.886214697114715,0.43621469711471494
2023-06-07 22:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,39.16,clear,5,1.4,1.7,61.06,0,0.30000000000000004,150.00000000000003,2.430609402697677,0.730609402697677
2023-06-06 13:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,32.22,clear,12,4.88,5.22,70.4,0,0.33999999999999986,169.99999999999994,5.804647858928322,0.5846478589283226
2023-07-13 06:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,semitrailer,25.7,clear,14,6.24,6.34,65.91,0,0.09999999999999964,49.99999999999982,7.261315271051124,0.9213152710511245
2023-11-18 23:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,21.23,clear,15,1.29,2.1,51.03,0,0.81,405.0,2.2401653972780333,0.14016539727803323
2023-12-17 17:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,36.84,clear,1,4.98,5.5,73.59,0,0.5199999999999996,259.9999999999998,5.97948331210915,0.4794833121091502
2023-05-14 18:00:00,Salta Capital,San Antonio de los Cobres,3775,170,semitrailer,44.32,clear,4,5.17,5.75,78.74,0,0.5800000000000001,290.00000000000006,6.081450649734538,0.3314506497345384
2023-12-14 08:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,25.61,snow,2,2.79,9.14,66.93,1,6.3500000000000005,3175.0000000000005,7.958029172322678,1.1819708276773229
2023-07-22 18:00:00,Salta Capital,San Antonio de los Cobres,3775,170,bitrain,24.28,rain,9,4.71,11.43,64.94,1,6.72,3360.0,9.67446315885972,1.7555368411402803
