date,origin,destiny,altitude_destiny_mbsl,distance_km,unit_type,charge_tons,weather,driver_experience_years,theorical_time_arrival_hs,real_time_hs,liters_consumed_100km,critical_delay
2023-04-16 23:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,26.21,clear,8,4.75,5.39,66.26,0
2023-04-30 22:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,22.86,clear,8,2.75,3.76,65.0,0
2023-03-19 06:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,41.47,white wind,18,16.78,23.85,76.77,1
2023-05-16 20:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,4x4 truck,30.62,rain,2,3.08,5.32,68.67,1
2023-08-25 07:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,26.54,clear,20,6.27,6.67,66.49,0
2023-10-27 06:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,37.41,clear,17,5.0,5.28,73.98,0
2023-03-24 07:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,26.3,snow,14,6.26,8.5,66.33,1
2023-07-02 10:00:00,San Antonio de los Cobres,Salar de Pocitos,3650,108,semitrailer,23.15,clear,5,2.98,4.26,63.57,1
2023-06-21 10:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,23.23,clear,9,1.3,2.53,52.15,1
2023-07-27 09:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,32.53,rain,20,5.75,8.76,71.77,1
2023-06-17 06:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,bitrain,28.88,clear,15,5.65,6.5,69.22,0
2023-12-04 18:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,24.21,clear,4,6.2,7.4,64.89,0
2023-05-14 22:00:00,Gral Guemes,Salta Capital,1187,59,bitrain,27.41,rain,3,1.33,4.18,54.49,1
2023-11-04 20:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,4x4 truck,38.57,clear,6,2.96,4.49,76.0,1
2023-01-24 08:00:00,San Antonio de los Cobres,Salar del Hombre Muerto,4000,200,semitrailer,43.61,clear,8,6.06,6.94,79.53,0
2023-10-30 22:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,bitrain,28.67,white wind,15,7.06,11.27,69.07,1
2023-06-16 19:00:00,Gral Guemes,San Antonio de los Cobres,3775,224,bitrain,26.48,clear,9,6.26,7.33,66.45,0
2023-01-22 16:00:00,Salta Capital,San Antonio de los Cobres,3775,170,4x4 truck,23.87,clear,13,4.7,5.35,64.65,0
2023-10-10 03:00:00,Gral Guemes,Salta Capital,1187,59,4x4 truck,34.07,clear,19,1.37,1.51,58.21,0
2023-03-20 14:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,34.96,clear,8,1.37,2.27,58.71,0
2023-11-14 04:00:00,Gral Guemes,Salta Capital,1187,59,semitrailer,34.29,clear,1,1.37,1.97,58.33,0
2023-12-09 05:00:00,Salar de Pocitos,Salar del Hombre Muerto,4000,100,semitrailer,31.66,clear,2,2.86,4.69,71.16,1
